# Program:featureCounts v2.0.8; Command:"featureCounts" "dedup/star/Int-01_S42_L005.bam" "dedup/star/Int-02_S43_L005.bam" "dedup/star/Int-03_S44_L005.bam" "dedup/star/Int-04_S45_L005.bam" "dedup/star/Liv-01_S38_L005.bam" "dedup/star/Liv-02_S39_L005.bam" "dedup/star/Liv-03_S40_L005.bam" "dedup/star/Liv-04_S41_L005.bam" "-a" "genome/annotations.gtf" "-o" "counts/star/counts.tsv" "-T" "32" "-p" "--countReadPairs" "-C" "--ignoreDup" "-M" "--fraction" "--byReadGroup" 
Geneid	Chr	Start	End	Strand	Length	dedup/star/Int-01_S42_L005.bam:Int-01_S42_L005	dedup/star/Int-02_S43_L005.bam:Int-02_S43_L005	dedup/star/Int-03_S44_L005.bam:Int-03_S44_L005	dedup/star/Int-04_S45_L005.bam:Int-04_S45_L005	dedup/star/Liv-01_S38_L005.bam:Liv-01_S38_L005	dedup/star/Liv-02_S39_L005.bam:Liv-02_S39_L005	dedup/star/Liv-03_S40_L005.bam:Liv-03_S40_L005	dedup/star/Liv-04_S41_L005.bam:Liv-04_S41_L005
Smp_015670	SM_V10_Z	2956483	2957425	+	943	2	1	1	4	2	5	0	2
Smp_342510	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	2960526;2964346;2966887;2978862;2994801;2996520;2997573;2999270;3000930;3003437;3006723;3008294;3009828;3012647	2960746;2964421;2966984;2978990;2994888;2996649;2997727;2999343;3001136;3003750;3006825;3008394;3010013;3012833	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2069	1	0	0	1	0	0	0	0
Smp_015690	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3035924;3037893;3041088;3043510;3044846;3046301;3048825;3052592	3036038;3038982;3041351;3043639;3044948;3046359;3049434;3052693	-;-;-;-;-;-;-;-	2473	1537	110.50	535	1721.50	559.50	188	262	1997.50
Smp_130730	SM_V10_Z	3057410	3059649	+	2240	203.97	91.60	71.14	128.66	44.77	78.73	15.46	108.32
Smp_321850	SM_V10_Z;SM_V10_Z	3082707;3082866	3082833;3083373	+;+	635	28	10	14	25	17	25	3	21
Smp_342520	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3084393;3084954;3085101;3091133	3084907;3085062;3085150;3091283	-;-;-;-	825	39	8	15	28.50	12	22	5	20
Smp_015710	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3103258;3107383;3109338;3120765;3124728;3127476;3135713;3139028;3140528;3142203;3142338;3142493	3103584;3107510;3109467;3120869;3124877;3127547;3135786;3139211;3140726;3142299;3142457;3142673	-;-;-;-;-;-;-;-;-;-;-;-	1767	112.50	21	52	97.50	44	91.08	30	102.50
Smp_015720	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3156667;3156890;3157014;3159588;3160813;3163287;3166005;3167384;3167997	3156853;3156972;3157074;3159715;3161066;3163384;3166242;3167506;3168177	+;+;+;+;+;+;+;+;+	1353	660.67	78	331.50	564.75	308	311	127	545
Smp_015730	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3178707;3179141;3179274;3179368	3179107;3179239;3179333;3179523	+;+;+;+	716	326	38	159	285	94	154.50	48	141
Smp_130750	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3184072;3188275;3195414;3198544;3199843;3202024;3204097;3209228;3212497;3214190;3216304;3217764;3223516;3228476;3236836;3238111;3241181;3243807;3245419;3248252;3248517;3248738;3248887;3249036	3184714;3188441;3195902;3198635;3200008;3202139;3204306;3209443;3213189;3214434;3216501;3217798;3223715;3228528;3236920;3238309;3241400;3243890;3245708;3248473;3248701;3248843;3249001;3249103	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5097	192	24	132	241	128	78	50	164.75
Smp_130760	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3253527;3257561;3257701;3257807;3261333;3262918;3265937;3266804;3268118;3269643;3272258;3276603;3279151;3281049;3282902;3285240	3253590;3257655;3257761;3257859;3261590;3263275;3266270;3267041;3268378;3270011;3272818;3277400;3279379;3281329;3283131;3285820	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4771	98	8	37	59	40	10	16	61
Smp_015760	SM_V10_Z	3295607	3297640	+	2034	5	0	6	12	3	5	5	5
Smp_321860	SM_V10_Z	3298356	3302083	-	3728	5.50	1	9	11	6	6	5	2
Smp_130780	SM_V10_Z	3319372	3321263	-	1892	0	0	1	0	0	2	0	6
Smp_015780	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3329973;3337906;3338369;3338458;3341627;3343199;3344442;3347104;3348595;3352023;3354392;3357046	3330066;3338333;3338420;3338559;3341742;3343298;3344500;3347201;3348671;3352129;3354661;3357375	+;+;+;+;+;+;+;+;+;+;+;+	1833	234.50	45	130	249	144	129	57	224.50
Smp_130790	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3361224;3361224;3361224;3364416;3364416;3364416;3367063;3367063;3367063;3370010;3370010;3370010;3371305;3371305;3371305;3372442;3372673;3372677;3372677;3375062;3375062;3375062;3377237;3377237;3377237;3379610;3379610;3380250;3380250;3380250;3380443;3380443;3380443;3380685;3380685;3380685	3361516;3361516;3361516;3364560;3364560;3364560;3367166;3367166;3367166;3370221;3370221;3370221;3371544;3371544;3371544;3372461;3373106;3373106;3373106;3375279;3375279;3375279;3377485;3377485;3377485;3380209;3380209;3380396;3380396;3380396;3380640;3380640;3380640;3380753;3380753;3380753	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2929	100	25	75	141	60	68	25	110
Smp_015800	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3386160;3395538;3395617;3395787;3395927;3396096;3396235;3403145;3404954	3395498;3395573;3395735;3395882;3396051;3396181;3396380;3403372;3405148	+;+;+;+;+;+;+;+;+	10370	194.68	31.48	135.05	168.83	71.37	97.71	39.12	141.92
Smp_130800	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3406317;3409041;3409482;3413297;3413920;3415492;3417464;3419350	3406397;3409349;3409699;3413561;3414084;3415712;3418024;3420374	+;+;+;+;+;+;+;+	2845	207.50	57	122.50	219	121.50	115	49	195
Smp_015820	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3457824;3480114;3482691;3483456;3486735;3487216;3489986;3491737;3496862;3498673;3501303;3503956;3506456	3458799;3480516;3482749;3483551;3486795;3487274;3490085;3491928;3496962;3498817;3501350;3504030;3507927	+;+;+;+;+;+;+;+;+;+;+;+;+	3787	4	0	4	7	2	3	4	9
Smp_130810	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3518470;3518891;3519043;3521203;3525122;3529731;3530795;3532744;3535613;3537643;3540362;3542377;3544704;3546148;3549266;3551543;3553941;3558178;3561074;3563350;3565606;3567586;3569595;3571793;3573653;3575338;3577311;3579822;3581584;3583766;3587190;3590118;3591466;3593285;3595583;3596920;3599283;3602859;3605023;3606712;3608767;3611444;3614212;3617223;3619813;3622858;3625066;3626702;3628649;3632299;3636243;3638126;3639142	3518859;3518981;3519072;3521338;3525269;3530139;3530921;3532972;3535768;3537931;3540403;3542627;3544805;3546297;3549394;3551578;3553985;3558435;3561286;3563562;3566026;3567656;3569858;3572079;3573947;3575491;3577582;3580226;3581835;3583894;3587414;3590339;3591915;3593444;3595746;3597051;3599443;3603378;3605177;3606883;3609011;3611689;3615199;3617495;3620760;3623098;3625271;3626938;3628909;3632545;3636462;3638292;3639462	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12955	17	1	15	17	4	7	2	10.50
Smp_015840	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3645150;3645970;3647912;3648640;3649311;3652251	3645916;3646044;3648599;3649272;3649582;3652466	-;-;-;-;-;-	2651	221	44	175.50	264	132	194	47	259.50
Smp_015850	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3665780;3666003;3666155;3666275;3666406	3665880;3666042;3666243;3666373;3667348	+;+;+;+;+	1272	384.50	60	271	373	190	247	73	323
Smp_015860	SM_V10_Z;SM_V10_Z;SM_V10_Z	3671231;3673765;3673887	3671454;3673852;3674256	-;-;-	682	254	43	134.50	225	80	138	38	117
Smp_244790	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3674370;3678604;3686724;3690308;3692526;3694700;3696764;3698900;3703893;3706304;3709298;3714307;3717653	3676651;3678837;3686953;3690592;3692772;3695044;3697049;3699243;3704057;3706669;3709510;3714579;3718317	+;+;+;+;+;+;+;+;+;+;+;+;+	5935	11	2	11	19	8	8	2	9
Smp_347210	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3725141;3727683;3727830;3727938;3728100;3728442	3725387;3727788;3727902;3728057;3728395;3728578	-;-;-;-;-;-	979	4	2	1	7	2	6	2	4
Smp_015880	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3733322;3736375;3737747;3742453;3745775;3747379;3759461;3766744	3734343;3736474;3737929;3742688;3746021;3747493;3759691;3766886	-;-;-;-;-;-;-;-	2277	100	20	66	96.50	43	41	28	69
Smp_088390	SM_V10_Z;SM_V10_Z;SM_V10_Z	3793339;3795242;3795470	3795208;3795424;3795767	+;+;+	2351	175.00	31	97	143	103	108	46	146.50
Smp_170260	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3795984;3795984;3799660;3799660;3800969	3796933;3796933;3802726;3800140;3802726	+;+;+;+;+	4017	121.00	20	70.25	167.50	55	66.50	27	149
Smp_088360	SM_V10_Z;SM_V10_Z	3812836;3844262	3813148;3844631	-;-	683	76	12	67	154	33	87.50	19	53
Smp_244780	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3874917;3878731;3881626;3884832;3886431;3887651;3890421;3891447;3893631;3895338;3897954;3900138;3901104;3901275;3901427;3901649;3905095	3876683;3879233;3881692;3885027;3886695;3887850;3890542;3891540;3893748;3895527;3898099;3900423;3901239;3901377;3901605;3901851;3905144	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4625	94	15.50	53	114	70	41.50	27	73.50
Smp_170230	SM_V10_Z	3920188	3923584	+	3397	181	21	96.50	127.33	85.50	87.17	35	159.67
Smp_154940	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3925640;3927942;3931633;3934616	3925935;3928205;3931881;3934912	-;-;-;-	1106	79	14	25	54	21	12	15	74
Smp_061040	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3956603;3956603;3957740;3957935;3957935;3958071;3958071;3958247;3958247	3957901;3956968;3957901;3958035;3958035;3958208;3958208;3958484;3958484	-;-;-;-;-;-;-;-;-	1776	200	44	153	222.83	144.25	213.67	48.00	188.50
Smp_061050	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3965875;3967521;3971139;3974711	3965914;3968664;3971402;3975550	+;+;+;+	2288	11	0	2	10	2	4	2	17
Smp_241570	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	3980575;3985675;3986379;3989065;3990896;3993253;3995241;3996936;4004335;4009758;4011874;4011991;4012064;4012274;4012436	3981323;3985954;3986496;3989185;3991042;3993315;3995348;3996972;4004423;4009886;4011953;4012030;4012242;4012397;4012524	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2353	70.50	13	37.50	84.25	26	41.50	12	50.50
Smp_344460	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4020269;4023702;4027237;4040113;4054682;4065344;4068177;4075833;4135485	4022741;4023774;4027336;4040225;4054748;4065418;4068286;4076019;4137584	-;-;-;-;-;-;-;-;-	5298	11	12	10	37	7	7	6	12.50
Smp_152400	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4279818;4280808;4283617;4285370;4287269;4289449;4292615;4295034	4279977;4281767;4283959;4285668;4287657;4289626;4292941;4295302	+;+;+;+;+;+;+;+	2925	95	12	51	88	46	29	21	118
Smp_056440	SM_V10_Z;SM_V10_Z;SM_V10_Z	4296363;4297828;4300134	4296647;4298095;4300424	-;-;-	844	251	47.50	196	318	99	190	36	126
Smp_152390	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4303668;4303755;4303893;4310116	4303710;4303854;4304016;4312585	+;+;+;+	2737	1	0	0	2	0	1	0	0
Smp_056420	SM_V10_Z	4325320	4325553	+	234	0	0	0	0	0	0	0	0
Smp_152380	SM_V10_Z;SM_V10_Z;SM_V10_Z	4430966;4434282;4447575	4432151;4434424;4448905	-;-;-	2660	7	0	21	54.67	6	12	5	30.50
Smp_152370	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4488288;4490115;4493530;4495268;4497925;4501339;4506138;4508895;4509405;4510519	4488976;4490203;4493645;4495327;4498035;4501435;4506466;4509066;4509514;4510650	-;-;-;-;-;-;-;-;-;-	1905	383	81.50	363	607	426.50	535	173	680
Smp_056390	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4514066;4516706;4517016;4518672;4520956;4522656;4524216;4526565;4527716	4514146;4516980;4517233;4518877;4521364;4523125;4524517;4526801;4528318	+;+;+;+;+;+;+;+;+	2801	200	45	174.67	282.17	105	152	54	178
Smp_152350	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4613616;4613832;4614095;4614255;4614386;4618841;4625999;4636006;4646663;4649419;4654607;4656851;4660719;4673496	4613797;4614062;4614220;4614350;4614475;4619253;4626202;4636365;4646817;4649660;4654894;4657452;4661467;4675214	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5457	87.50	11	45.50	84	28	26	24	36
Smp_056370	SM_V10_Z;SM_V10_Z	4676741;4689619	4677182;4690515	+;+	1339	172.75	23	83	174	48	80	29	112.50
Smp_056360	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4733136;4733347;4733675;4733818;4734332;4734751;4735253;4735436;4735834;4736236;4736798	4733310;4733639;4733784;4734020;4734566;4735105;4735400;4735793;4736195;4736723;4736882	-;-;-;-;-;-;-;-;-;-;-	2812	4801.00	672	2841.30	4402.00	1600	1174.50	744	2877.87
Smp_056350	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4746756;4755350;4755537;4755701;4757055	4755309;4755496;4755651;4755801;4757306	+;+;+;+;+	9169	162.42	37	72.64	120.50	42.75	64	17	59
Smp_344450	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4760824;4767844;4770510;4770761	4761967;4768490;4770718;4770952	-;-;-;-	2192	10	1	3	8	0	5	0	8
Smp_321910	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4778747;4778850;4778962;4779079	4778809;4778921;4779045;4779277	+;+;+;+	418	365	71	221	384.75	159	348.00	66	216
Smp_152330	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4843184;4843425;4843519;4843685;4845017;4858736;4869269;4879821;4885350;4887954	4843350;4843486;4843647;4843783;4845099;4858862;4869364;4879943;4885514;4890505	+;+;+;+;+;+;+;+;+;+	3603	182.50	46.50	155	273	60	141.50	33.50	141
Smp_176260	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4922434;4922615;4922897;4923013;4924498	4922575;4922864;4922979;4923102;4924728	+;+;+;+;+	796	470.50	69	189	249	125	197	43	196
Smp_346430	SM_V10_Z	4928834	4932741	-	3908	10	0	10	20	4	3	0	6
Smp_321920	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	4937365;4943919;4950385;4957798	4937686;4944490;4951032;5019930	-;-;-;-	63675	52.50	8	12.50	36.37	5.11	5	4	12.33
Smp_346420	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5126345;5148447;5150754;5152358;5155514;5158029;5160715;5163675;5167428	5126796;5148715;5150877;5152534;5155681;5158121;5160822;5164282;5168968	+;+;+;+;+;+;+;+;+	3540	3	0	1	13	4	2	1	1
Smp_341650	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5248784;5252491;5253958;5255335;5256839;5259282;5261705;5261954;5262061	5249543;5252679;5254135;5255800;5257024;5259545;5261905;5262017;5262449	-;-;-;-;-;-;-;-;-	2697	98	17	67.75	127	81.50	75.50	37	141
Smp_176230	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5279076;5279241;5279386;5279710;5284909;5286698;5290672;5292149;5294576;5298304	5279211;5279355;5279585;5279910;5285036;5286923;5290781;5292251;5294707;5298666	+;+;+;+;+;+;+;+;+;+	1714	466	89.50	314	590.50	248.50	244.92	103	432.50
Smp_334980	SM_V10_Z	5321783	5327614	+	5832	7.50	1	13	17	6	17	4	8
Smp_098340	SM_V10_Z;SM_V10_Z	5360294;5362801	5361051;5362909	-;-	867	115	24	134	196	59	147.50	32	83.50
Smp_097820	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5426745;5426745;5450050;5450050	5444405;5430460;5458309;5458309	-;-;-;-	25921	89.17	18.67	70.67	99.67	44.50	37	19	35.00
Smp_097830	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5463908;5463908;5463908;5468358;5469892;5469892;5469892;5471136;5471136;5471136;5473498;5473498;5474999;5474999;5474999;5475711;5475711;5475711;5478592;5478592;5478592;5479109;5479109;5479109	5467469;5468559;5468559;5468559;5470026;5470026;5470026;5471523;5471523;5471523;5473893;5473893;5475199;5475199;5475199;5475834;5475834;5475834;5479075;5479075;5479075;5480909;5480909;5480909	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8181	769.33	138.50	494.00	822.83	423.17	326.50	166	501.67
Smp_175900	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5497022;5512299;5513713;5516475;5517896;5522618;5525108;5527771;5529519	5497343;5512441;5513891;5516591;5518063;5522839;5525225;5527904;5530670	+;+;+;+;+;+;+;+;+	2555	156	39.50	149.50	331.50	77.50	69	34	168
Smp_175910	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5533354;5535645;5536133;5548115	5534105;5535818;5536546;5548206	-;-;-;-	1432	343	56.00	212	357	176.50	198.50	82	232
Smp_175920	SM_V10_Z;SM_V10_Z	5559373;5569388	5566729;5571318	+;+	9288	318	46.50	195.00	339	181	113	88.33	282.50
Smp_175930	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5573362;5579979;5584680;5588422;5590180;5615393;5619388	5573790;5580800;5584988;5588887;5590333;5615496;5663352	-;-;-;-;-;-;-	46249	46	11	26	64.50	24	17	13.53	25.17
Smp_133900	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5768758;5769262;5769391;5772076;5773935;5776170;5777921;5780317;5781143;5784839;5788889;5789025	5768910;5769335;5769487;5772174;5774164;5776221;5778038;5780416;5781279;5784958;5788984;5789142	-;-;-;-;-;-;-;-;-;-;-;-	1394	1	0	1	2	3	0	0	0
Smp_133890	SM_V10_Z	5808346	5809712	+	1367	0	0	0	0	0	0	0	0
Smp_342830	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5827724;5832339;5832474;5834182;5836290;5841008;5841596;5843815;5845717;5847816;5850986;5854021;5856525;5858631;5860397;5863098;5865923;5869911;5879522;5882040;5885975;5888985;5893275;5896167;5898520	5827854;5832437;5832657;5834313;5836452;5841121;5841798;5844057;5845899;5847932;5851048;5854365;5856717;5858874;5860628;5863346;5866094;5870178;5880034;5882322;5886136;5889224;5893442;5896272;5899684	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5972	16.17	1	9	17	2	2	5	7
Smp_021600	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5901520;5902269;5905345;5905621;5909021;5909239;5909427	5901905;5902786;5905461;5905708;5909205;5909395;5909591	-;-;-;-;-;-;-	1616	28	7	24	44	28	30	10	34.50
Smp_021590	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5917896;5920250;5920409;5920594;5923539;5924643;5926104;5928683;5929665;5930949	5918023;5920373;5920561;5920859;5923704;5924807;5926437;5928948;5929799;5931380	+;+;+;+;+;+;+;+;+;+	2169	133	26	50	107	23	18	10	69
Smp_133860	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5935016;5937480;5943729;5944638	5935333;5937692;5944046;5944882	-;-;-;-	1094	81	16	49	84	49	93	23.67	66
Smp_133850	SM_V10_Z;SM_V10_Z;SM_V10_Z	5945638;5949836;5950718	5945994;5950003;5950976	-;-;-	784	83	15	52	84	52	102	29	79.33
Smp_021550	SM_V10_Z;SM_V10_Z;SM_V10_Z	5958383;5964418;5965700	5962055;5964658;5970203	-;-;-	8418	91	14	45	70	37	24	17	59.50
Smp_021540	SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z;SM_V10_Z	5980617;5980794;5980953;5981317;5981502;5984263;5985495;5987587;5993539	5980754;5980916;5981028;5981469;5981622;5984602;5985653;5988033;5994441	+;+;+;+;+;+;+;+;+	2460	408	48	209	344	224	126	83	309
